cfg,tp_cp,tp1_fraction,mr_sl_atr,vol_filter_high,mr_time_stop,priority,mr_d,mr_rr,mr_cp_low,mr_cp_high,mr_mean_dist,mr_atr_pctl_max,trend_enabled,trend_d,trend_p,trend_rr,session_name,session_hours,minute_guard,n_trades,n_trend,n_range,winrate,avg_r,pf,sum_r,trend_avg_r,trend_pf,range_avg_r,range_pf,r_p10,r_p50,r_p90,SL_rate,TP_rate,FLIP_rate,TIME_rate
C00016_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,69,0,69,0.2608695652173913,-0.06216315295974622,0.7982726829804232,-4.289257554222489,0.0,0.0,-0.06216315295974622,0.7982726829804232,-1.0,0.0,0.9369063814625664,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
C00043_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.35_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.35,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,69,0,69,0.2608695652173913,-0.06216315295974622,0.7982726829804232,-4.289257554222489,0.0,0.0,-0.06216315295974622,0.7982726829804232,-1.0,0.0,0.9369063814625664,0.30434782608695654,0.6521739130434783,0.043478260869565216,0.0
C00114_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,58,0,58,0.27586206896551724,-0.06613654646082502,0.7978679322025503,-3.835919694727851,0.0,0.0,-0.06613654646082502,0.7978679322025503,-1.0,0.0,0.9687001033156133,0.3448275862068966,0.6206896551724138,0.034482758620689655,0.0
C00141_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,58,0,58,0.27586206896551724,-0.06613654646082502,0.7978679322025503,-3.835919694727851,0.0,0.0,-0.06613654646082502,0.7978679322025503,-1.0,0.0,0.9687001033156133,0.3448275862068966,0.6206896551724138,0.034482758620689655,0.0
C00060_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,58,0,58,0.27586206896551724,-0.0661852104179518,0.7977192013297179,-3.838742204241205,0.0,0.0,-0.0661852104179518,0.7977192013297179,-1.0,0.0,0.9687001033156133,0.3448275862068966,0.6206896551724138,0.034482758620689655,0.0
C00087_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,58,0,58,0.27586206896551724,-0.0661852104179518,0.7977192013297179,-3.838742204241205,0.0,0.0,-0.0661852104179518,0.7977192013297179,-1.0,0.0,0.9687001033156133,0.3448275862068966,0.6206896551724138,0.034482758620689655,0.0
C00006_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,58,0,58,0.27586206896551724,-0.06623387437507859,0.7975704704568853,-3.8415647137545585,0.0,0.0,-0.06623387437507859,0.7975704704568853,-1.0,0.0,0.9687001033156133,0.3448275862068966,0.6206896551724138,0.034482758620689655,0.0
C00033_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,58,0,58,0.27586206896551724,-0.06623387437507859,0.7975704704568853,-3.8415647137545585,0.0,0.0,-0.06623387437507859,0.7975704704568853,-1.0,0.0,0.9687001033156133,0.3448275862068966,0.6206896551724138,0.034482758620689655,0.0
C00116_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.06079496949511176,0.7969388341492606,-3.8908780476871527,0.0,0.0,-0.06079496949511176,0.7969388341492606,-1.0,0.0,0.8362545603359149,0.3125,0.640625,0.046875,0.0
C00143_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.06079496949511176,0.7969388341492606,-3.8908780476871527,0.0,0.0,-0.06079496949511176,0.7969388341492606,-1.0,0.0,0.8362545603359149,0.3125,0.640625,0.046875,0.0
C00062_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.060839071206257915,0.7967915301049339,-3.8937005572005066,0.0,0.0,-0.060839071206257915,0.7967915301049339,-1.0,0.0,0.8362545603359149,0.3125,0.640625,0.046875,0.0
C00089_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.060839071206257915,0.7967915301049339,-3.8937005572005066,0.0,0.0,-0.060839071206257915,0.7967915301049339,-1.0,0.0,0.8362545603359149,0.3125,0.640625,0.046875,0.0
C00008_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.06088317291740407,0.7966442260606071,-3.8965230667138604,0.0,0.0,-0.06088317291740407,0.7966442260606071,-1.0,0.0,0.8362545603359149,0.3125,0.640625,0.046875,0.0
C00035_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,64,0,64,0.265625,-0.06088317291740407,0.7966442260606071,-3.8965230667138604,0.0,0.0,-0.06088317291740407,0.7966442260606071,-1.0,0.0,0.8362545603359149,0.3125,0.640625,0.046875,0.0
C00117_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,51,0,51,0.27450980392156865,-0.07473449041597027,0.7754966726740309,-3.8114590112144837,0.0,0.0,-0.07473449041597027,0.7754966726740309,-1.0,0.0,0.8956916099775188,0.35294117647058826,0.6078431372549019,0.0392156862745098,0.0
C00144_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,51,0,51,0.27450980392156865,-0.07473449041597027,0.7754966726740309,-3.8114590112144837,0.0,0.0,-0.07473449041597027,0.7754966726740309,-1.0,0.0,0.8956916099775188,0.35294117647058826,0.6078431372549019,0.0392156862745098,0.0
C00063_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,51,0,51,0.27450980392156865,-0.07478983373976152,0.7753304206494669,-3.814281520727837,0.0,0.0,-0.07478983373976152,0.7753304206494669,-1.0,0.0,0.8956916099775188,0.35294117647058826,0.6078431372549019,0.0392156862745098,0.0
C00090_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,51,0,51,0.27450980392156865,-0.07478983373976152,0.7753304206494669,-3.814281520727837,0.0,0.0,-0.07478983373976152,0.7753304206494669,-1.0,0.0,0.8956916099775188,0.35294117647058826,0.6078431372549019,0.0392156862745098,0.0
C00009_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,51,0,51,0.27450980392156865,-0.07484517706355276,0.7751641686249029,-3.8171040302411905,0.0,0.0,-0.07484517706355276,0.7751641686249029,-1.0,0.0,0.8956916099775188,0.35294117647058826,0.6078431372549019,0.0392156862745098,0.0
C00036_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,51,0,51,0.27450980392156865,-0.07484517706355276,0.7751641686249029,-3.8171040302411905,0.0,0.0,-0.07484517706355276,0.7751641686249029,-1.0,0.0,0.8956916099775188,0.35294117647058826,0.6078431372549019,0.0392156862745098,0.0
C00132_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.24390243902439024,-0.07240330511060791,0.7712515806493895,-2.9685355095349246,0.0,0.0,-0.07240330511060791,0.7712515806493895,-1.0,0.0,1.1390532544378302,0.2926829268292683,0.6585365853658537,0.04878048780487805,0.0
C00159_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.24390243902439024,-0.07240330511060791,0.7712515806493895,-2.9685355095349246,0.0,0.0,-0.07240330511060791,0.7712515806493895,-1.0,0.0,1.1390532544378302,0.2926829268292683,0.6585365853658537,0.04878048780487805,0.0
C00078_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.24390243902439024,-0.07247214680605556,0.771034084652556,-2.971358019048278,0.0,0.0,-0.07247214680605556,0.771034084652556,-1.0,0.0,1.1390532544378302,0.2926829268292683,0.6585365853658537,0.04878048780487805,0.0
C00105_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.24390243902439024,-0.07247214680605556,0.771034084652556,-2.971358019048278,0.0,0.0,-0.07247214680605556,0.771034084652556,-1.0,0.0,1.1390532544378302,0.2926829268292683,0.6585365853658537,0.04878048780487805,0.0
C00024_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.24390243902439024,-0.0725409885015032,0.7708165886557226,-2.9741805285616314,0.0,0.0,-0.0725409885015032,0.7708165886557226,-1.0,0.0,1.1390532544378302,0.2926829268292683,0.6585365853658537,0.04878048780487805,0.0
C00051_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.40_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg10_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.4,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",10,41,0,41,0.24390243902439024,-0.0725409885015032,0.7708165886557226,-2.9741805285616314,0.0,0.0,-0.0725409885015032,0.7708165886557226,-1.0,0.0,1.1390532544378302,0.2926829268292683,0.6585365853658537,0.04878048780487805,0.0
C00115_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,82,0,82,0.2682926829268293,-0.07332386909173241,0.7521887757951483,-6.012557265522058,0.0,0.0,-0.07332386909173241,0.7521887757951483,-1.0,0.0,0.8823445053581759,0.3170731707317073,0.6463414634146342,0.036585365853658534,0.0
C00142_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,82,0,82,0.2682926829268293,-0.07332386909173241,0.7521887757951483,-6.012557265522058,0.0,0.0,-0.07332386909173241,0.7521887757951483,-1.0,0.0,0.8823445053581759,0.3170731707317073,0.6463414634146342,0.036585365853658534,0.0
C00061_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,82,0,82,0.2682926829268293,-0.07335828993945623,0.7520724443396718,-6.01537977503541,0.0,0.0,-0.07335828993945623,0.7520724443396718,-1.0,0.0,0.8823445053581759,0.3170731707317073,0.6463414634146342,0.036585365853658534,0.0
C00088_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,82,0,82,0.2682926829268293,-0.07335828993945623,0.7520724443396718,-6.01537977503541,0.0,0.0,-0.07335828993945623,0.7520724443396718,-1.0,0.0,0.8823445053581759,0.3170731707317073,0.6463414634146342,0.036585365853658534,0.0
C00007_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,82,0,82,0.2682926829268293,-0.07339271078718006,0.7519561128841952,-6.018202284548765,0.0,0.0,-0.07339271078718006,0.7519561128841952,-1.0,0.0,0.8823445053581759,0.3170731707317073,0.6463414634146342,0.036585365853658534,0.0
C00034_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.30_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.3,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,82,0,82,0.2682926829268293,-0.07339271078718006,0.7519561128841952,-6.018202284548765,0.0,0.0,-0.07339271078718006,0.7519561128841952,-1.0,0.0,0.8823445053581759,0.3170731707317073,0.6463414634146342,0.036585365853658534,0.0
C00109_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,100,0,100,0.26,-0.07195375385453777,0.7454104582693345,-7.195375385453777,0.0,0.0,-0.07195375385453777,0.7454104582693345,-1.0,0.0,0.8501432424735853,0.31,0.65,0.04,0.0
C00136_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,100,0,100,0.26,-0.07195375385453777,0.7454104582693345,-7.195375385453777,0.0,0.0,-0.07195375385453777,0.7454104582693345,-1.0,0.0,0.8501432424735853,0.31,0.65,0.04,0.0
C00055_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,100,0,100,0.26,-0.07198197894967132,0.7453105911512148,-7.198197894967131,0.0,0.0,-0.07198197894967132,0.7453105911512148,-1.0,0.0,0.8501432424735853,0.31,0.65,0.04,0.0
C00082_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,100,0,100,0.26,-0.07198197894967132,0.7453105911512148,-7.198197894967131,0.0,0.0,-0.07198197894967132,0.7453105911512148,-1.0,0.0,0.8501432424735853,0.31,0.65,0.04,0.0
C00001_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,100,0,100,0.26,-0.07201020404480483,0.7452107240330951,-7.2010204044804835,0.0,0.0,-0.07201020404480483,0.7452107240330951,-1.0,0.0,0.8501432424735853,0.31,0.65,0.04,0.0
C00028_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.30_rr0.90_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.3,0.9,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,100,0,100,0.26,-0.07201020404480483,0.7452107240330951,-7.2010204044804835,0.0,0.0,-0.07201020404480483,0.7452107240330951,-1.0,0.0,0.8501432424735853,0.31,0.65,0.04,0.0
C00112_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,90,0,90,0.26666666666666666,-0.07818908832261584,0.741880643613924,-7.037017949035426,0.0,0.0,-0.07818908832261584,0.741880643613924,-1.0,0.0,0.8873018578946266,0.32222222222222224,0.6444444444444445,0.03333333333333333,0.0
C00139_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t30_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,30,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,90,0,90,0.26666666666666666,-0.07818908832261584,0.741880643613924,-7.037017949035426,0.0,0.0,-0.07818908832261584,0.741880643613924,-1.0,0.0,0.8873018578946266,0.32222222222222224,0.6444444444444445,0.03333333333333333,0.0
C00058_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t20_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,20,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,90,0,90,0.26666666666666666,-0.07822044953943087,0.7417771133480846,-7.039840458548778,0.0,0.0,-0.07822044953943087,0.7417771133480846,-1.0,0.0,0.8873018578946266,0.32222222222222224,0.6444444444444445,0.03333333333333333,0.0
C00085_US_15_20_tp20.60_tp1f0.50_sl1.8_high1_t30_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.5,1.8,True,30,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,90,0,90,0.26666666666666666,-0.07822044953943087,0.7417771133480846,-7.039840458548778,0.0,0.0,-0.07822044953943087,0.7417771133480846,-1.0,0.0,0.8873018578946266,0.32222222222222224,0.6444444444444445,0.03333333333333333,0.0
C00004_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t20_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,20,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,90,0,90,0.26666666666666666,-0.07825181075624592,0.7416735830822453,-7.042662968062133,0.0,0.0,-0.07825181075624592,0.7416735830822453,-1.0,0.0,0.8873018578946266,0.32222222222222224,0.6444444444444445,0.03333333333333333,0.0
C00031_US_15_20_tp20.60_tp1f0.40_sl1.8_high1_t30_d0.30_rr1.00_cp0.20_0.80_md0.20_ap0.90_mg0_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.4,1.8,True,30,TREND_FIRST,0.3,1.0,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",0,90,0,90,0.26666666666666666,-0.07825181075624592,0.7416735830822453,-7.042662968062133,0.0,0.0,-0.07825181075624592,0.7416735830822453,-1.0,0.0,0.8873018578946266,0.32222222222222224,0.6444444444444445,0.03333333333333333,0.0
C00134_US_15_20_tp20.60_tp1f0.60_sl1.8_high1_t20_d0.40_rr1.10_cp0.20_0.80_md0.20_ap0.90_mg5_tr0_td0.20_tp0.65_trr0.80_TREND_FIRST,0.6,0.6,1.8,True,20,TREND_FIRST,0.4,1.1,0.2,0.8,0.2,0.9,False,0.2,0.65,0.8,US_15_20,"15,16,17,18,19,20",5,47,0,47,0.23404255319148937,-0.08560625239349415,0.7158772959086166,-4.023493862494225,0.0,0.0,-0.08560625239349415,0.7158772959086166,-1.0,0.0,0.8486297763512292,0.2765957446808511,0.6595744680851063,0.06382978723404255,0.0
